Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
1.,MARION LEGRAND,LES TRITONS MELDOIS,0 days 01:00:39,0 days 00:17:03,00:00:37,0 days 00:33:38,0 days 00:51:17,00:00:31,0 days 00:08:52,,,parthenay,D1F,0.0,1.0,28.0,0.0,0.0,10000.0,9990.224828934506,9861.248761149653,10000.0,10000.0,0.2,1.4,0.0,0.0,2023,,
2.,MARION LE GOFF,PONTIVY TRIATHLON,0 days 01:00:50,0 days 00:17:02,00:00:37,0 days 00:33:42,0 days 00:51:20,00:00:34,0 days 00:08:57,,,parthenay,D1F,11.0,0.0,32.0,3.0,5.0,9969.86301369863,10000.0,9841.740850642927,9990.25974025974,9906.890130353817,0.0,1.6,2.0,0.4,2023,,
3.,MAURINE RICOUR,LES TRITONS MELDOIS,0 days 01:00:53,0 days 00:17:03,00:00:39,0 days 00:33:39,0 days 00:51:21,00:00:32,0 days 00:09:01,,,parthenay,D1F,14.0,1.0,29.0,4.0,9.0,9961.675335340817,9990.224828934506,9856.364536899455,9987.017202207076,9833.641404805916,0.2,1.45,3.6,0.51,2023,,
4.,EMMA WASSER,ASPTT STRASBOURG TRI,0 days 01:00:56,0 days 00:17:32,00:00:38,0 days 00:33:10,0 days 00:51:18,00:00:31,0 days 00:09:07,U23,,parthenay,D1F,17.0,30.0,0.0,1.0,15.0,9953.501094091904,9714.828897338404,10000.0,9996.751137102014,9725.776965265082,6.0,0.0,6.0,0.62,2023,,
5.,CLAUDIA KELSALL,LES TRITONS MELDOIS,0 days 01:01:27,0 days 00:17:04,00:00:39,0 days 00:33:40,0 days 00:51:22,00:00:34,0 days 00:09:32,,,parthenay,D1F,48.0,2.0,30.0,5.0,40.0,9869.812855980472,9980.46875,9851.485148514852,9983.776768332253,9300.699300699302,0.4,1.5,16.0,1.75,2023,,
6.,LUCIE ROSE,ASPTT 36 SPORTS NATURE,0 days 01:01:41,0 days 00:17:34,00:00:38,0 days 00:34:06,0 days 00:52:17,00:00:26,0 days 00:08:59,,,parthenay,D1F,62.0,32.0,56.0,60.0,7.0,9832.47770872737,9696.39468690702,9726.295210166178,9808.734459674848,9870.12987012987,6.4,2.8,2.8,2.25,2023,,
7.,CAMILLE LAURENT,LA GRANDE MOTTE TRIATHLON,0 days 01:01:45,0 days 00:17:42,00:00:39,0 days 00:33:53,0 days 00:52:13,00:00:29,0 days 00:09:04,U23,,parthenay,D1F,66.0,40.0,43.0,56.0,12.0,9821.862348178138,9623.352165725048,9788.489916379734,9821.25758059368,9779.411764705883,8.0,2.15,4.8,2.4,2023,,
8.,KARIN NIEUWENHUIJSEN,LYS CALAIS TRIATHLON,0 days 01:01:55,0 days 00:17:35,00:00:43,0 days 00:34:01,0 days 00:52:17,00:00:36,0 days 00:09:03,,,parthenay,D1F,76.0,33.0,51.0,60.0,11.0,9795.42395693136,9687.203791469194,9750.122488975992,9808.734459674848,9797.42173112339,6.6,2.55,4.4,2.76,2023,,
9.,CAMILLA ZANINETTI,STADE FRANCAIS,0 days 01:01:57,0 days 00:17:51,00:00:43,0 days 00:33:47,0 days 00:52:19,00:00:28,0 days 00:09:11,,,parthenay,D1F,78.0,49.0,37.0,62.0,19.0,9790.153349475384,9542.48366013072,9817.464232856437,9802.484867792291,9655.172413793103,9.8,1.85,7.6,2.84,2023,,
10.,GUADALUPE JAZMIN AGUILAR CORONA,MONTLUCON TRIATHLON,0 days 01:02:01,0 days 00:17:19,00:00:39,0 days 00:34:20,0 days 00:52:17,00:00:26,0 days 00:09:19,,,parthenay,D1F,82.0,17.0,70.0,60.0,27.0,9779.629131953776,9836.38113570741,9660.194174757282,9808.734459674848,9516.994633273704,3.4,3.5,10.8,2.98,2023,,
